entity,code,pop2010,steel_kt,steel_src,elec_twh,elec_src,pc_steel_kg,pc_elec_kwh,s_mature,s_late,s_mid,s_start,category
Belgium,BEL,10936619.0,7973.0,worldsteel-SSY2012,93.04,OWID-Ember2010,729.0187214165547,8507.199528483163,3.9493466856621775,5.265795580882903,15.79738674264871,31.59477348529742,后工业化国家
Tunisia,TUN,10765984.0,150.0,worldsteel-SSY2012,15.89,OWID-Ember2010,13.932771960277853,1475.9449763254338,0.40381817398205305,0.5384242319760708,1.6152726959282122,3.2305453918564244,工业化起步国家
Portugal,PRT,10578659.0,1504.0,worldsteel-SSY2012,53.48,OWID-Ember2010,142.17302968173942,5055.461188417171,1.6192978713086412,2.159063828411522,6.477191485234565,12.95438297046913,后工业化国家
Czechia,CZE,10464035.0,5180.0,worldsteel-SSY2012,85.22,OWID-Ember2010,495.02892526640056,8144.085909498583,3.273593790540647,4.364791720720863,13.094375162162589,26.188750324325177,后工业化国家
Guinea,GIN,10396090.0,0.0,无产量(SSY2012未列),0.63,OWID-Ember2010,0.0,60.599706235709775,0.015149926558927444,0.020199902078569924,0.060599706235709774,0.12119941247141955,准备工业化国家
Rwanda,RWA,10317560.0,0.0,无产量(SSY2012未列),0.28,OWID-Ember2010,0.0,27.138199341704823,0.006784549835426206,0.00904606644723494,0.027138199341704822,0.054276398683409645,准备工业化国家
Bolivia,BOL,10182345.0,0.0,无产量(SSY2012未列),6.65,OWID-Ember2010,0.0,653.0912083611388,0.1632728020902847,0.21769706945371292,0.6530912083611388,1.3061824167222775,准备工业化国家
Dominican Republic,DOM,9820180.0,0.0,无产量(SSY2012未列),14.78,OWID-Ember2010,0.0,1505.0640619622043,0.37626601549055105,0.5016880206540681,1.5050640619622042,3.0101281239244084,工业化起步国家
Haiti,HTI,9803299.0,0.0,无产量(SSY2012未列),0.68,OWID-Ember2010,0.0,69.36440477843225,0.01734110119460806,0.023121468259477414,0.06936440477843224,0.13872880955686448,准备工业化国家
Benin,BEN,9797488.0,0.0,无产量(SSY2012未列),0.11,OWID-Ember2010,0.0,11.227367668120644,0.002806841917030161,0.003742455889373548,0.011227367668120644,0.022454735336241288,准备工业化国家
South Sudan,SSD,9745955.0,0.0,无产量(SSY2012未列),0.0,2010年尚未独立，计入苏丹,0.0,0.0,0.0,0.0,0.0,0.0,准备工业化国家
Sweden,SWE,9378234.0,4846.0,worldsteel-SSY2012,148.45,OWID-Ember2010,516.7284160322722,15829.206223687743,5.249122596002616,6.998830128003489,20.996490384010464,41.99298076802093,后工业化国家
Burundi,BDI,9376448.0,0.0,无产量(SSY2012未列),0.16,OWID-Ember2010,0.0,17.064031070187774,0.004266007767546943,0.0056880103567292575,0.017064031070187773,0.034128062140375545,准备工业化国家
Azerbaijan,AZE,9146852.0,120.0,worldsteel-SSY2012,18.67,OWID-Ember2010,13.119267699969345,2041.139399653564,0.5430830191633144,0.7241106922177525,2.1723320766532574,4.344664153306515,工业化中期国家
Honduras,HND,8365881.0,0.0,无产量(SSY2012未列),7.2,OWID-Ember2010,0.0,860.638586659313,0.21515964666482826,0.28687952888643764,0.860638586659313,1.721277173318626,准备工业化国家
Tajikistan,TJK,7652144.0,0.0,无产量(SSY2012未列),16.44,OWID-Ember2010,0.0,2148.4174892683673,0.5371043723170918,0.7161391630894558,2.1484174892683674,4.296834978536735,工业化中期国家
Papua New Guinea,PNG,7633524.0,0.0,无产量(SSY2012未列),3.51,OWID-Ember2010,0.0,459.81384220446546,0.11495346055111637,0.15327128073482182,0.4598138422044655,0.919627684408931,准备工业化国家
Israel,ISR,7336735.0,300.0,worldsteel-SSY2012,58.55,OWID-Ember2010,40.89012346772781,7980.389096784877,2.097322582865539,2.7964301104873854,8.389290331462156,16.778580662924313,后工业化国家
Jordan,JOR,7297046.0,150.0,worldsteel-SSY2012,14.78,OWID-Ember2010,20.556263452361407,2025.477158839344,0.5577599483407395,0.743679931120986,2.231039793362958,4.462079586725916,工业化中期国家
United Arab Emirates,ARE,6938372.0,500.0,worldsteel-SSY2012,93.95,OWID-Ember2010,72.06301420563787,13540.640369239354,3.565317627823933,4.753756837098577,14.261270511295733,28.522541022591465,成熟工业化国家
