entity,code,pop2024,steel_kt,steel_src,elec_twh,elec_src,pc_steel_kg,pc_elec_kwh,s_mature,s_late,s_mid,s_start,category
Jordan,JOR,11552885.0,300.0,BGS 2024 est,23.67,OWID2024,25.96753970977812,2048.8388831014936,0.5771285700498188,0.769504760066425,2.308514280199275,4.61702856039855,工业化中期国家
Dominican Republic,DOM,11427558.0,60.0,BGS 2024 est,24.03,OWID2024,5.250465585035753,2102.811466806819,0.5388290306642942,0.7184387075523923,2.155316122657177,4.310632245314354,工业化中期国家
United Arab Emirates,ARE,11027135.0,3700.0,worldsteel2024,177.26,OWID2024,335.535930230291,16074.8916196274,4.857562730482577,6.476750307310104,19.43025092193031,38.86050184386062,成熟工业化国家
Cuba,CUB,10979781.0,178.7,BGS 2024,19.43,OWID2024,16.27537015537924,1769.6163520929972,0.4830925134116974,0.6441233512155966,1.9323700536467896,3.864740107293579,工业化起步国家
Honduras,HND,10825704.0,0.0,无产量(两源均无),12.48,OWID2024,0.0,1152.811863320852,0.288202965830213,0.38427062110695065,1.152811863320852,2.305623726641704,工业化起步国家
Czechia,CZE,10735857.0,2500.0,worldsteel2024,72.81,OWID2024,232.86450257301303,6781.945772936431,2.2776476996666406,3.0368635995555207,9.110590798666562,18.221181597333125,后工业化国家
Sweden,SWE,10606993.0,4000.0,worldsteel2024,172.15,OWID2024,377.10970488997214,16229.858924202175,5.000238993275475,6.666985324367299,20.0009559731019,40.0019119462038,后工业化国家
Tajikistan,TJK,10590930.0,0.0,无产量(两源均无),22.2,OWID2024,0.0,2096.1332007670712,0.5240333001917679,0.6987110669223571,2.0961332007670714,4.192266401534143,工业化中期国家
Papua New Guinea,PNG,10576509.0,0.0,无产量(两源均无),4.73,OWID2024,0.0,447.21750815888305,0.11180437703972076,0.1490725027196277,0.44721750815888306,0.8944350163177661,准备工业化国家
Portugal,PRT,10425291.0,1900.0,worldsteel2024,47.27,OWID2024,182.24910940135868,4534.166000738013,1.5891642736879,2.1188856982505335,6.3566570947516,12.7133141895032,后工业化国家
Azerbaijan,AZE,10336577.0,352.406,BGS 2024,27.84,OWID2024,34.09310451612753,2693.348097730999,0.7585697857230687,1.0114263809640915,3.0342791428922746,6.068558285784549,工业化中期国家
Greece,GRC,10047813.0,1300.0,worldsteel2024,57.08,OWID2024,129.38138876589363,5680.838208274776,1.7436630239834279,2.3248840319779043,6.9746520959337115,13.949304191867423,后工业化国家
Israel,ISR,9387015.0,300.0,BGS2024 est,80.4,OWID2024,31.959041292679302,8565.023066438052,2.221153369841211,2.961537826454949,8.884613479364845,17.76922695872969,后工业化国家
