entity,code,pop1990,pop2000,pop2012,pop2024,is_country,elec,steel_name,s1990,s2000,s2012,s2023,s2024,s2025,pop2024_m,pc_steel_kg,pc_elec_kwh,r_steel1990,r_elec1990,score1990,r_steel2000,r_elec2000,score2000,r_steel2012,r_elec2012,score2012,category
Germany,DEU,79707963.0,81797255.0,80916391.0,84552234.0,True,495.99,Germany,44.0,46.4,42.7,35.4,37.3,34.1,84.552234,441.1474213679558,5866.078003332236,7.664157296210386,10.893442125155442,18.55759942136583,4.358540553520639,5.493849364300765,9.852389917821403,0.8336699303787908,1.6107572525026597,2.4444271828814506,发达国家
Thailand,THA,54738329.0,63007815.0,69436091.0,71668010.0,True,199.52,Thailand,0.7,2.1,3.3,5.0,4.9,5.0,71.66801,68.3708114680455,2783.9478171641713,1.1878220934302586,5.1698552948841705,6.357677388314429,0.6755042419527928,2.6072939938551385,3.282798235807931,0.12920553736834609,0.7644399093463883,0.8936454467147343,工业化中期国家
United Kingdom,GBR,57367867.0,59057333.0,63960488.0,69138185.0,True,284.16,United Kingdom,17.8,15.2,9.6,5.6,4.0,2.5,69.138185,57.85514907572422,4110.0297903394485,1.005131032018903,7.632420098794205,8.637551130813108,0.571609401443603,3.849230190612371,4.420839592055974,0.10933328807057392,1.1285666997661132,1.2378999878366872,发达国家
Tanzania,TZA,26110210.0,34260142.0,47374261.0,68560162.0,True,8.84,,,,,,0.0,,68.560162,0.0,128.93785169294085,0.0,0.2394405639272192,0.2394405639272192,0.0,0.12075617374252119,0.12075617374252119,0.0,0.035404844534719704,0.035404844534719704,准备工业化国家
France,FRA,56990239.0,59483716.0,64058465.0,66548532.0,True,561.78,France,19.0,21.0,15.6,10.0,10.8,9.8,66.548532,162.28757683189767,8441.658788205876,2.8194600167980024,15.676355036089394,18.495815052887394,1.6034027417887615,7.905998137236525,9.509400879025286,0.3066872123138706,2.317981981918986,2.624669194232857,发达国家
South Africa,ZAF,40746274.0,47159715.0,53782570.0,64007187.0,True,247.52,South Africa,8.7,8.5,7.1,5.0,4.7,4.5,64.007187,73.42925412422827,3867.065740601911,1.275703600411818,7.181230255630546,8.456933856042365,0.7254817016107554,3.621683286285448,4.347164987896203,0.13876486228501056,1.061851578523292,1.2006164408083027,工业化中期国家
Italy,ITA,57031457.0,57272200.0,60531522.0,59342870.0,True,267.56,Italy,25.5,26.8,27.2,21.1,20.0,20.7,59.34287,337.0244816268576,4508.713515204101,5.855205119078656,8.37278496959671,14.227990088675366,3.3298049575919637,4.222615666761943,7.552420624353907,0.6369008692435698,1.2380406448646477,1.8749415141082175,发达国家
Kenya,KEN,22892655.0,30642893.0,43888306.0,56432946.0,True,13.26,Kenya,,,,1.4,1.8,1.8,56.432946,31.896261449827552,234.96912601372964,0.5541412078404294,0.43634308544395783,0.9904842932843873,0.3151353545344981,0.22005929393498436,0.5351946484694825,0.060276798127404774,0.06451980754872866,0.12479660567613343,准备工业化国家
Myanmar,MMR,39817253.0,45290850.0,49837451.0,54500086.0,True,21.71,,,,,,0.0,,54.500086,0.0,398.3479952673836,0.0,0.7397414131983829,0.7397414131983829,0.0,0.37307105008270236,0.37307105008270236,0.0,0.1093817576296032,0.1093817576296032,准备工业化国家
Colombia,COL,32440064.0,39089939.0,45715807.0,52886360.0,True,89.14,Colombia,,,,1.4,1.3,1.4,52.88636,24.581007276734493,1685.5007604985483,0.4270515867099428,3.1300137802406436,3.5570653669505865,0.24286057647081027,1.5785482696161401,1.8214088460869504,0.046452604350470154,0.46281903727321094,0.5092716416236811,工业化起步国家
South Korea,KOR,44081425.0,46766660.0,49599580.0,51717587.0,True,625.38,South Korea,23.1,43.1,69.3,66.7,63.6,61.9,51.717587,1229.7557502054378,12092.211494708754,21.36483417780735,22.455515594562858,43.82034977237021,12.149998047307943,11.32490710069979,23.474905148007732,2.323963239947331,3.3203815825213807,5.644344822468712,发达国家
Sudan,SDN,22021484.0,27816748.0,36923175.0,50448960.0,True,14.77,,,,,,0.0,,50.44896,0.0,292.77114929623923,0.0,0.5436827756061453,0.5436827756061453,0.0,0.2741935227477491,0.2741935227477491,0.0,0.08039157539067372,0.08039157539067372,准备工业化国家
Uganda,UGA,17569895.0,24000158.0,34337436.0,50015091.0,True,5.81,,,,,,0.0,,50.015091,0.0,116.16493909808142,0.0,0.2157209706925689,0.2157209706925689,0.0,0.10879375904232864,0.10879375904232864,0.0,0.03189755029382055,0.03189755029382055,准备工业化国家
Spain,ESP,39084975.0,41019772.0,47018323.0,47910533.0,True,280.94,Spain,12.9,15.8,13.6,11.4,11.9,11.9,47.910533,248.37962040622673,5863.846265287844,4.315157219016275,10.889297736142666,15.20445495515894,2.4539929188561223,5.491759239923028,7.94575215877915,0.4693819136683964,1.6101444430175746,2.079526356685971,发达国家
Algeria,DZA,25375815.0,30903894.0,37646165.0,46814302.0,True,96.36,Algeria,4.5,5.2,4.3,4.4,4.5,5.3,46.814302,96.1244706799217,2058.34533215939,1.6699929040079318,3.822394747687475,5.492387651695407,0.9497106485287438,1.9277342013133214,2.8774448498420653,0.18165374407252374,0.5651978494059167,0.7468515934784404,工业化中期国家
Iraq,IRQ,17581208.0,24424060.0,33654843.0,46042015.0,True,149.73,Iraq,0.8,1.1,2.0,2.8,3.0,3.0,46.042015,65.15787808157397,3252.029695051357,1.1320030504903593,6.039094136185228,7.1710971866755875,0.6437604307404945,3.045674002748719,3.6894344334892137,0.12313381208362024,0.8929697855504819,1.0161035976341022,工业化中期国家
Argentina,ARG,32755907.0,37213986.0,42161718.0,45696153.0,True,152.51,Argentina,3.6,4.5,5.0,4.9,3.9,4.0,45.696153,85.34635289758418,3337.4800719001446,1.4827421437410662,6.197777456496723,7.68051960023779,0.843222746368352,3.125702174597661,3.968924920966013,0.16128551280563141,0.9164334718772037,1.0777189846828352,工业化中期国家
Afghanistan,AFG,12045664.0,20130334.0,30560036.0,42647502.0,True,0.99,,,,,,0.0,,42.647502,0.0,23.213551874620933,0.0,0.04310810114046052,0.04310810114046052,0.0,0.02174054916029149,0.02174054916029149,0.0,0.006374173172799974,0.006374173172799974,准备工业化国家
Yemen,YEM,13887863.0,19624139.0,28433655.0,40583173.0,True,5.25,,,,,,0.0,,40.583173,0.0,129.3639607726089,0.0,0.24023185831432595,0.24023185831432595,0.0,0.12115524431320356,0.12115524431320356,0.0,0.035521849165418895,0.035521849165418895,准备工业化国家
Canada,CAN,27789437.0,30891800.0,34922513.0,39742429.0,True,636.79,Canada,12.3,16.6,13.5,12.2,12.3,11.5,39.742429,309.4929099577683,16022.926026992462,5.376892687308161,29.754943124100752,35.13183581140891,3.0577927779677805,15.006200380838186,18.063993158805967,0.584872358308573,4.399710383944922,4.984582742253495,发达国家
Poland,POL,38055448.0,38258077.0,38247867.0,38539209.0,True,172.12,Poland,13.6,10.5,8.4,6.4,7.1,7.2,38.539209,184.22796378617943,4466.101003785521,3.2006354892419,8.293652553239113,11.494288042481013,1.8201739653485383,4.182707107988049,6.002881073336588,0.34814963502948126,1.2263397415053947,1.574489376534876,工业化中期国家
Morocco,MAR,24375558.0,28423439.0,33355246.0,38081176.0,True,42.4,Morocco,,,,1.4,1.4,1.5,38.081176,36.763570536792244,1113.4109933999937,0.6387021066349775,2.0676298902307177,2.7063319968656954,0.3632244127823542,1.0427601328896947,1.405984545672049,0.06947492335973478,0.30572979623122415,0.3752047195909589,工业化起步国家
Angola,AGO,11626361.0,16194873.0,25177398.0,37885854.0,True,15.59,,,,,,0.0,,37.885854,0.0,411.4992366280037,0.0,0.7641635716753901,0.7641635716753901,0.0,0.3853877869122785,0.3853877869122785,0.0,0.11299293657897932,0.11299293657897932,准备工业化国家
Ukraine,UKR,52054096.0,49556654.0,46210051.0,37860221.0,True,,Ukraine,54.6,31.8,32.9,6.2,7.6,7.4,37.860221,200.7383950558556,,3.4874750719978973,,,1.9832971771353225,,,0.37935065632171305,,,准备工业化国家
Uzbekistan,UZB,20464963.0,24787052.0,29261908.0,36361859.0,True,81.5,Uzbekistan,,,,1.0,1.0,1.0,36.361859,27.501344196950985,2241.3595520515055,0.4777872828295429,4.162256374372754,4.640043657202297,0.2717135319232928,2.0991353581068637,2.3708488900301563,0.051971387775317214,0.6154514399369128,0.6674228277122299,工业化中期国家
Malaysia,MYS,17833179.0,22967817.0,29662835.0,35557670.0,True,198.12,Malaysia,1.1,3.7,5.6,7.5,9.0,9.0,35.55767,253.10994786778772,5571.793652396234,4.397338304004977,10.346949299209514,14.744287603214492,2.5007285973935,5.2182386592615515,7.718967256655052,0.47832117427502063,1.5299501694228004,2.008271343697821,工业化国家
Mozambique,MOZ,13094535.0,18129652.0,24337849.0,34631767.0,True,19.79,,,,,,0.0,,34.631767,0.0,571.4406660220369,0.0,1.061178494342428,1.061178494342428,0.0,0.5351802239890819,0.5351802239890819,0.0,0.15691100538504288,0.15691100538504288,准备工业化国家
Ghana,GHA,15394650.0,19637085.0,26734273.0,34427417.0,True,24.27,,,,,,0.0,,34.427417,0.0,704.9613974815479,0.0,1.3091295716783198,1.3091295716783198,0.0,0.6602284734724876,0.6602284734724876,0.0,0.193574255760455,0.193574255760455,准备工业化国家
Peru,PER,22014772.0,26598328.0,29550367.0,34217850.0,True,59.29,Peru,,,,1.6,1.6,1.6,34.21785,46.75922069913802,1732.7213720324335,0.8123588739907837,3.2177035447761,4.030062418766883,0.4619815277084572,1.6227725241367863,2.0847540518452434,0.08836446588294276,0.4757852716895637,0.5641497375725064,工业化中期国家
Saudi Arabia,SAU,10640697.0,16177733.0,27062447.0,33962751.0,True,454.64,Saudi Arabia,1.8,3.0,5.2,9.9,9.6,10.8,33.962751,282.66261469808495,13386.430327743474,4.910763694563883,24.8589098124613,29.769673507025182,2.7927092156755204,12.537002014728358,15.329711230403879,0.534169102893812,3.6757591227538837,4.209928225647696,工业化国家
Madagascar,MDG,12055649.0,16516336.0,23462444.0,31964960.0,True,2.43,,,,,,0.0,,31.96496,0.0,76.02074271327103,0.0,0.14117227227253556,0.14117227227253556,0.0,0.07119688977741707,0.07119688977741707,0.0,0.02087441772790637,0.02087441772790637,准备工业化国家
Cote d'Ivoire,CIV,12189780.0,17699007.0,23467083.0,31934229.0,True,10.79,,,,,,0.0,,31.934229,0.0,337.88196358208614,0.0,0.6274545979996357,0.6274545979996357,0.0,0.3164418560032238,0.3164418560032238,0.0,0.09277848385591275,0.09277848385591275,准备工业化国家
Nepal,NPL,19524579.0,24546509.0,27534916.0,29651054.0,True,11.13,,,,,,0.0,,29.651054,0.0,375.366083107872,0.0,0.69706347235054,0.69706347235054,0.0,0.3515474420713143,0.3515474420713143,0.0,0.10307119004658025,0.10307119004658025,准备工业化国家
Cameroon,CMR,11331827.0,14912632.0,20809530.0,29123748.0,True,7.26,,,,,,0.0,,29.123748,0.0,249.28110214385867,0.0,0.4629207551547261,0.4629207551547261,0.0,0.23346311177029655,0.23346311177029655,0.0,0.06844971085655288,0.06844971085655288,准备工业化国家
Venezuela,VEN,19827005.0,24526707.0,29553829.0,28405544.0,True,80.13,,,,,,0.0,,28.405544,0.0,2820.928196270418,0.0,5.238528711659632,5.238528711659632,0.0,2.641927804065137,2.641927804065137,0.0,0.7745942942372555,0.7745942942372555,工业化中期国家
Niger,NER,8286066.0,11509634.0,17836770.0,27032417.0,True,0.95,,,,,,0.0,,27.032417,0.0,35.14299146835446,0.0,0.0652613455613588,0.0652613455613588,0.0,0.03291301295829554,0.03291301295829554,0.0,0.009649859471717802,0.009649859471717802,准备工业化国家
Australia,AUS,17126304.0,19132472.0,22852648.0,26713206.0,True,281.64,Australia,6.6,7.1,4.9,5.3,4.7,5.2,26.713206,175.94293998256893,10543.099918444832,3.056697833578363,19.578779674608608,22.63547750818697,1.7383178544753417,9.874093517304878,11.61241137178022,0.3324927936132383,2.8950134396181477,3.227506233231386,发达国家
North Korea,PRK,21112134.0,23665909.0,25211737.0,26498832.0,True,27.1,North Korea,7.0,1.5,1.28,,0.0,,26.498832,0.0,1022.6865848275879,0.0,1.8991525713882043,1.8991525713882043,0.0,0.9577925899966506,0.9577925899966506,0.0,0.2808179217208605,0.2808179217208605,准备工业化国家
Syria,SYR,12579212.0,16637884.0,22759763.0,24672758.0,True,24.88,,,,,,0.0,,24.672758,0.0,1008.3996284485099,0.0,1.8726213639320985,1.8726213639320985,0.0,0.9444122042983351,0.9444122042983351,0.0,0.276894888547637,0.276894888547637,准备工业化国家
Mali,MLI,9178826.0,11559291.0,16957039.0,24478597.0,True,5.96,,,,,,0.0,,24.478597,0.0,243.47800652137047,0.0,0.4521442727631847,0.4521442727631847,0.0,0.22802824827573118,0.22802824827573118,0.0,0.06685624783823306,0.06685624783823306,准备工业化国家
Burkina Faso,BFA,9159358.0,11925548.0,17172284.0,23548782.0,True,1.69,,,,,,0.0,,23.548782,0.0,71.76591978302741,0.0,0.13327096797397966,0.13327096797397966,0.0,0.06721205421313498,0.06721205421313498,0.0,0.019706092504629184,0.019706092504629184,准备工业化国家
Taiwan,TWN,20594907.0,22332873.0,23345963.0,23213964.0,True,288.56,Taiwan,,,20.7,19.1,19.2,17.1,23.213964,827.088385249499,12430.449189978928,14.369199898674196,23.08363079451052,37.452830693184715,8.171640802699013,11.64168211563942,19.813322918338432,1.5630120072104807,3.413257746189292,4.976269753399773,发达国家
Sri Lanka,LKA,16352460.0,19293056.0,21169461.0,23103561.0,True,17.07,,,,,,0.0,,23.103561,0.0,738.8471413562611,0.0,1.372056179465898,1.372056179465898,0.0,0.6919640167672071,0.6919640167672071,0.0,0.20287888956717162,0.20287888956717162,准备工业化国家
Malawi,MWI,9545860.0,11315947.0,15709577.0,21655288.0,True,1.83,,,,,,0.0,,21.655288,0.0,84.50591836968411,0.0,0.15692943913639368,0.15692943913639368,0.0,0.07914364344477111,0.07914364344477111,0.0,0.023204348939111285,0.023204348939111285,准备工业化国家
Zambia,ZMB,7786163.0,10017633.0,14913631.0,21314962.0,True,19.72,,,,,,0.0,,21.314962,0.0,925.171717406768,0.0,1.7180652138748058,1.7180652138748058,0.0,0.8664654729543234,0.8664654729543234,0.0,0.25404146565674146,0.25404146565674146,准备工业化国家
Kazakhstan,KAZ,17154060.0,15501108.0,17306115.0,20592574.0,True,118.51,Kazakhstan,7.4,4.7,3.9,3.9,4.2,4.3,20.592574,203.95701868061758,5754.987210438093,3.5433929727780527,10.687143960974442,14.230536933752495,2.0150972079539176,5.389807774404676,7.404904982358593,0.3854331348837554,1.580253004137932,1.9656861390216873,工业化中期国家
Chad,TCD,5982838.0,8512092.0,13211006.0,20299131.0,True,0.37,,,,,,0.0,,20.299131,0.0,18.227381260803725,0.0,0.03384866732848019,0.03384866732848019,0.0,0.01707077316320212,0.01707077316320212,0.0,0.0050050283244260875,0.0050050283244260875,准备工业化国家
Chile,CHL,13437181.0,15503638.0,17519116.0,19764774.0,True,88.62,Chile,,,,1.2,0.8,0.5,19.764774,40.47605097837192,4483.73454712915,0.7031998973624879,8.326398449861374,9.029598347223862,0.39990375346307605,4.1992217248809265,4.5991254783440025,0.0764906808171106,1.231181708798011,1.3076723896151217,工业化中期国家
Romania,ROU,22939530.0,22046264.0,20158451.0,19015096.0,True,52.72,Romania,,,,1.6,1.4,0.9,19.015096,73.62571295985043,2772.533990888082,1.2791167256971696,5.1486595562842865,6.427776281981457,0.727422716701587,2.596604425425344,3.3240271421269307,0.13913612553144994,0.7613058045079302,0.9004419300393801,工业化中期国家
Somalia,SOM,7082816.0,8838714.0,12461163.0,19009155.0,True,0.43,,,,,,0.0,,19.009155,0.0,22.62067935160716,0.0,0.04200712319346139,0.04200712319346139,0.0,0.02118529702559086,0.02118529702559086,0.0,0.00621137722707414,0.00621137722707414,准备工业化国家
Senegal,SEN,7720524.0,9968262.0,13310499.0,18501988.0,True,7.63,,,,,,0.0,,18.501988,0.0,412.38811742824606,0.0,0.7658142438192146,0.7658142438192146,0.0,0.3862202642875498,0.3862202642875498,0.0,0.1132370129780295,0.1132370129780295,准备工业化国家
Guatemala,GTM,9024775.0,11697592.0,15089639.0,18406366.0,True,15.79,,,,,,0.0,,18.406366,0.0,857.8553746024609,0.0,1.5930572129584717,1.5930572129584717,0.0,0.8034206503467114,0.8034206503467114,0.0,0.2355571755872267,0.2355571755872267,准备工业化国家
Netherlands,NLD,15030886.0,16058757.0,16915191.0,18228740.0,True,122.33,Netherlands,5.4,5.7,6.9,4.7,6.4,6.5,18.22874,351.09393188997154,6710.831357515659,6.099636968081291,12.46216858406047,18.56180555214176,3.4688112547326546,6.2849993754726645,9.753810630205319,0.6634889825435336,1.8427167646424492,2.506205747185983,发达国家
Ecuador,ECU,10473674.0,12689215.0,15572195.0,18135478.0,True,32.66,,,,,,0.0,,18.135478,0.0,1800.889946214817,0.0,3.344294159014153,3.344294159014153,0.0,1.6866155002657157,1.6866155002657157,0.0,0.4945035746501902,0.4945035746501902,工业化起步国家
Cambodia,KHM,7374754.0,12462343.0,14945090.0,17638804.0,True,15.48,,,,,,0.0,,17.638804,0.0,877.6105227996184,0.0,1.6297429787183813,1.6297429787183813,0.0,0.8219222468653683,0.8219222468653683,0.0,0.24098171106301827,0.24098171106301827,准备工业化国家
Zimbabwe,ZWE,10137287.0,11892055.0,13817887.0,16634366.0,True,10.26,,,,,,0.0,,16.634366,0.0,616.7953741068341,0.0,1.14540323314481,1.14540323314481,0.0,0.5776569749013895,0.5776569749013895,0.0,0.1693648842699177,0.1693648842699177,准备工业化国家
Guinea,GIN,6434383.0,8428837.0,10921580.0,14754779.0,True,4.03,,,,,,0.0,,14.754779,0.0,273.13184426550885,0.0,0.5072121332776582,0.5072121332776582,0.0,0.2558004186333652,0.2558004186333652,0.0,0.07499884911011777,0.07499884911011777,准备工业化国家
Benin,BEN,5281482.0,7221618.0,10397659.0,14462721.0,True,1.01,,,,,,0.0,,14.462721,0.0,69.83471505811389,0.0,0.12968467626583635,0.12968467626583635,0.0,0.06540339298423997,0.06540339298423997,0.0,0.019175805997195285,0.019175805997195285,准备工业化国家
Rwanda,RWA,7375313.0,8213936.0,10829904.0,14256573.0,True,1.13,,,,,,0.0,,14.256573,0.0,79.2616851188571,0.0,0.14719077705650857,0.14719077705650857,0.0,0.07423218002833942,0.07423218002833942,0.0,0.021764343071854358,0.021764343071854358,准备工业化国家
Burundi,BDI,5587051.0,6470196.0,10071033.0,14047788.0,True,0.49,,,,,,0.0,,14.047788,0.0,34.88093641504271,0.0,0.06477470328431537,0.06477470328431537,0.0,0.03266758645915408,0.03266758645915408,0.0,0.009577902181440195,0.009577902181440195,准备工业化国家
Bolivia,BOL,7130143.0,8606330.0,10515814.0,12413318.0,True,13.53,,,,,,0.0,,12.413318,0.0,1089.9583817960677,0.0,2.024077849660171,2.024077849660171,0.0,1.0207956933990792,1.0207956933990792,0.0,0.29928998001846785,0.29928998001846785,工业化起步国家
Tunisia,TUN,8324509.0,9764940.0,11009649.0,12277103.0,True,21.37,,,,,,0.0,,12.277103,0.0,1740.6386506653892,0.0,3.2324061137715754,3.2324061137715754,0.0,1.630187416362895,1.630187416362895,0.0,0.4779592649386943,0.4779592649386943,工业化起步国家
South Sudan,SSD,4737637.0,6032274.0,10756245.0,11943410.0,True,0.56,,,,,,0.0,,11.94341,0.0,46.88778163020444,0.0,0.08707169172919539,0.08707169172919539,0.0,0.0439125441489603,0.0439125441489603,0.0,0.012874843169782392,0.012874843169782392,准备工业化国家
Haiti,HTI,6854444.0,8303151.0,10069770.0,11772562.0,True,0.86,,,,,,0.0,,11.772562,0.0,73.05121858776364,0.0,0.13565779749363013,0.13565779749363013,0.0,0.06841579511418086,0.06841579511418086,0.0,0.020059020708138555,0.020059020708138555,准备工业化国家
Belgium,BEL,9960968.0,10251719.0,11107522.0,11738761.0,True,76.01,Belgium,11.5,11.6,7.4,5.9,7.1,7.2,11.738761,604.8338491600604,6475.129700655802,10.507919877805742,12.02446517194294,22.532385049748683,5.975763955576408,6.064254033019225,12.040017988595633,1.1430006580485708,1.7779958125858548,2.9209964706344254,发达国家
Jordan,JOR,3621915.0,5386945.0,7587133.0,11552885.0,True,23.67,,,,,,0.0,,11.552885,0.0,2048.8388831014936,0.0,3.804741052566287,3.804741052566287,0.0,1.9188309785665705,1.9188309785665705,0.0,0.5625874883168116,0.5625874883168116,工业化起步国家
Dominican Republic,DOM,7151165.0,8584196.0,10070409.0,11427558.0,True,24.03,,,,,,0.0,,11.427558,0.0,2102.811466806819,0.0,3.904969385125978,3.904969385125978,0.0,1.9693787627096957,1.9693787627096957,0.0,0.5774077362900358,0.5774077362900358,工业化起步国家
United Arab Emirates,ARE,1898220.0,3493583.0,7497122.0,11027135.0,True,177.26,United Arab Emirates,,0.1,2.4,3.8,3.7,3.8,11.027135,335.535930230291,16074.8916196274,5.829344167627544,29.85144442796111,35.68078859558865,3.315098056194202,15.054868526386334,18.36996658258054,0.6340878401312318,4.413979535355758,5.0480673754869905,工业化国家
Cuba,CUB,10631796.0,11109112.0,11303172.0,10979781.0,True,19.43,,,,,,0.0,,10.979781,0.0,1769.6163520929972,0.0,3.2862183735544095,3.2862183735544095,0.0,1.6573263542489116,1.6573263542489116,0.0,0.4859162069890492,0.4859162069890492,工业化起步国家
Honduras,HND,4980493.0,6577781.0,8715081.0,10825704.0,True,12.48,,,,,,0.0,,10.825704,0.0,1152.811863320852,0.0,2.14079821426593,2.14079821426593,0.0,1.0796608430481076,1.0796608430481076,0.0,0.3165488199373332,0.3165488199373332,工业化起步国家
