code,eia_name,eia_1980,eia_1981,eia_1982,eia_1983,eia_1984,eia_1985,eia_1986,eia_1987,eia_1988,eia_1989,eia_1990,eia_1991,eia_1992,eia_1993,eia_1994,eia_1995,eia_1996,eia_1997,eia_1998,eia_1999,eia_2000,eia_2001,eia_2002,eia_2003,eia_2004,eia_2005
HND,Honduras,0.899,0.978,1.037,1.0659999999999998,1.04,1.045,1.427,1.291,1.9040000000000001,2.004,2.254,2.286,2.358,2.45,2.114,2.266,2.985,3.052,3.306,3.096,3.552,3.8009999999999997,4.038,4.367000000000001,4.703,5.339
PER,Peru,9.959439999999999,10.6864,11.35806,10.69922,11.62904,12.16208,12.965539999999999,13.94652,13.4339,13.47786,13.183,13.883999999999999,12.828999999999999,14.5,14.491,16.432,16.932000000000002,17.526000000000003,18.154,18.626,19.529,20.414,21.568,22.478,24.218000000000004,24.972
VEN,Venezuela,32.012,35.957,38.274,41.801,42.645,46.22,48.363,52.427,56.46,55.896,57.605999999999995,61.752,65.744,67.57900000000001,69.498,71.598,73.745,76.245,78.947,78.777,83.24,87.733,86.646,89.365,96.07,99.20400000000001
BEL,Belgium,50.754000000000005,47.761,47.474000000000004,49.305,51.112,53.43,54.912000000000006,59.474000000000004,61.677,63.913999999999994,66.52399999999999,67.363,67.586,66.306,67.49255000000001,69.547,71.08699999999999,73.69054999999999,77.64111000000001,78.88300000000001,78.324,74.404,76.59100000000001,79.0526,79.80199999999999,80.83699999999999
CZE,Czech Republic,,,,,,,,,,,,,,55.60235,55.47385,57.56385,60.306,61.27639,61.516,60.535,68.7684,70.037,71.7549,78.1778,79.1335,77.38
FRA,France,250.805,262.24,264.84799999999996,280.634,306.923,325.04,342.481,356.693,371.389,385.012,397.58099999999996,430.07595000000003,439.3997499999999,448.564,453.81700000000006,469.0135,485.08,478.201,483.947,496.256,511.81699999999995,520.955,528.036,535.458,542.0029999999999,543.575
DEU,Germany,,,,,,,,,,,,506.52349999999996,504.62989999999996,494.13375,496.46065000000004,503.932,520.78345,518.68943,522.8520000000001,520.1426,536.073,549.991,535.967,562.859,576.534,579.3829999999999
GRC,Greece,21.288,21.879,21.762999999999998,22.262999999999998,23.057,25.735999999999997,26.014000000000003,27.674,29.745,31.371000000000002,32.776999999999994,33.752,35.1016,35.963649999999994,38.08815,38.999300000000005,40.0851,40.88938,43.5975,46.664,50.41,50.006,50.856,54.687949999999994,55.532000000000004,56.128
ITA,Italy,176.371,170.947,174.12,171.578,171.121,173.308,179.692,188.743,174.78199999999998,196.57299999999998,202.0576,207.4625,212.45685,208.67460000000003,217.29005,225.05330000000004,227.1841,233.86847,240.55995,246.0413,256.04055,258.01265,262.96155,268.20045,277.58410000000003,278.54769999999996
NLD,Netherlands,62.943000000000005,62.211,57.745,57.108000000000004,60.288999999999994,59.598,63.655,64.998,66.242,69.536,67.70095,69.96695,72.52795,72.300653,74.888,76.18625,80.11635,80.46997999999999,84.7702,80.67385,84.36219999999999,88.2453,90.3958,91.05839999999999,94.7402,94.3442
POL,Poland,113.765,107.34599999999999,109.567,117.25800000000001,125.418,128.127,130.35399999999998,135.224,133.812,135.022,126.665,125.25099999999999,123.322,124.294,125.71900000000001,129.25695,133.20122,133.14489999999998,133.0028,131.7138,134.69400000000002,135.222,134.072,141.101,143.5129,146.168
PRT,Portugal,14.973000000000003,13.55,15.115,17.767,18.852,18.598,19.898000000000003,19.867,20.924,24.981,27.1187,28.414649999999998,28.121499999999997,29.583199999999998,29.99945,31.593049999999998,33.1079,32.756449999999994,37.23895,40.7438,41.35395,44.119949999999996,43.32300000000001,44.54,42.6578,43.692
ROU,Romania,63.867,66.355,65.169,66.543,67.861,68.101,71.477,70.183,71.479,71.92800000000001,60.596,53.789,51.529,52.787000000000006,52.480999999999995,56.548,58.062999999999995,54.648215,51.141000000000005,48.506,49.653,51.298,52.182,52.423,53.991,56.913
ESP,Spain,109.18,110.09700000000001,113.62799999999999,115.559,118.233,125.505,127.916,128.33,130.31099999999998,140.299,143.922,147.4469,148.7684,147.8688,153.17575,157.41675,165.5512,180.14425,184.12824999999998,195.30780000000001,211.07209999999998,221.99079999999998,229.01590000000002,245.23825,260.201,270.332
SWE,Sweden,94.342,100.675,97.387,107.357,121.62199999999999,134.327,135.86599999999999,143.704,142.687,141.243,141.54600000000002,142.08700000000002,141.53199999999998,140.901,137.83400000000003,143.52405000000002,135.5154,144.585,153.964,150.177,141.066,156.61795,141.43859999999998,130.661,146.44099999999997,153.188
TUR,Turkey,23.322000000000003,23.803,26.44,27.356,30.721,34.369,36.398,39.965,46.3,45.879000000000005,55.249,57.765950000000004,64.6315,71.0781,75.15205,82.8527,91.19579999999999,99.09269,106.47521,111.19094999999999,118.97319999999999,116.56599999999999,123.324,133.916,143.96235,154.219
