page,name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
6,United Kingdom,11667.0,13268.0,13766.0,13239.0,13871.0,14317.0,13521.0,10079.0,9709.0,9478.0
6,European Union (27),188246.0,192511.0,202328.0,195518.0,206903.0,210179.0,198229.0,139336.0,172777.0,177652.0
6,Albania,140.0,140.0,143.0,180.0,206.0,263.0,250.0,221.0,390.0,464.0
6,Bosnia-Herzegovina,74.0,95.0,75.0,289.0,490.0,533.0,608.0,519.0,592.0,649.0
6,Croatia,34.0,41.0,86.0,73.0,81.0,75.0,89.0,43.0,95.0,96.0
6,Macedonia,260.0,291.0,309.0,310.0,354.0,359.0,253.0,270.0,291.0,386.0
6,Montenegro,,,,,,174.0,170.0,130.0,130.0,140.0
6,Norway,698.0,703.0,725.0,705.0,684.0,708.0,560.0,595.0,520.0,600.0
6,Serbia,,,,,,1478.0,1662.0,1061.0,1254.0,1324.0
6,Serbia and Montenegro,591.0,711.0,1175.0,1292.0,1823.0,,,,,
6,Switzerland,1000.0,1000.0,1000.0,1158.0,1252.0,1264.0,1312.0,934.0,1320.0,1400.0
6,Turkey,16467.0,18298.0,20478.0,20965.0,23315.0,25754.0,26806.0,25304.0,29143.0,34107.0
6,Other Europe,19265.0,21281.0,23992.0,24972.0,28205.0,30608.0,31710.0,29076.0,33734.0,39164.0
6,Azerbaijan,125.0,250.0,250.0,330.0,300.0,150.0,150.0,120.0,120.0,120.0
6,Byelorussia,1484.0,1591.0,1792.0,2027.0,2324.0,2410.0,2589.0,2417.0,2530.0,2614.0
6,Kazakhstan,4814.0,4898.0,5385.0,4451.0,4269.0,4782.0,4250.0,4146.0,4220.0,4699.0
6,Moldova,514.0,850.0,1012.0,1016.0,675.0,965.0,885.0,380.0,240.0,313.0
6,Russia,59777.0,61450.0,65583.0,66146.0,70830.0,72387.0,68510.0,60011.0,66942.0,68852.0
6,Ukraine,34050.0,36932.0,38738.0,38641.0,40891.0,42830.0,37279.0,29855.0,33432.0,35332.0
6,Uzbekistan,450.0,499.0,602.0,595.0,617.0,645.0,682.0,716.0,716.0,733.0
6,CIS,101214.0,106470.0,113362.0,113206.0,119906.0,124169.0,114345.0,97645.0,108200.0,112663.0
6,Canada,16002.0,15929.0,16305.0,15327.0,15493.0,15572.0,14845.0,9286.0,13013.0,12967.0
6,Cuba,268.0,210.0,192.0,245.0,257.0,268.0,279.0,267.0,278.0,282.0
6,El Salvador,49.0,57.0,59.0,48.0,72.0,73.0,71.0,56.0,64.0,97.0
6,Guatemala,216.0,226.0,232.0,207.0,292.0,349.0,250.0,224.0,274.0,445.0
6,Mexico,14010.0,15159.0,16737.0,16195.0,16447.0,17573.0,17209.0,14132.0,16870.0,18101.0
6,Trinidad and Tobago,817.0,903.0,815.0,712.0,673.0,682.0,489.0,417.0,572.0,603.0
6,United States,91587.0,93677.0,99681.0,94897.0,98557.0,98102.0,91350.0,58196.0,80495.0,86398.0
6,North America,122949.0,126161.0,134021.0,127631.0,131789.0,132618.0,124494.0,82578.0,111565.0,118893.0
7,Argentina,4356.0,5044.0,5133.0,5380.0,5533.0,5387.0,5541.0,4013.0,5138.0,5611.0
7,Brazil,29604.0,31147.0,32909.0,31610.0,30901.0,33782.0,33716.0,26506.0,32948.0,35220.0
7,Chile,1279.0,1377.0,1579.0,1537.0,1627.0,1679.0,1523.0,1308.0,1011.0,1615.0
7,Colombia,664.0,668.0,730.0,842.0,1220.0,1245.0,1053.0,1053.0,1213.0,1287.0
7,Ecuador,69.0,80.0,72.0,84.0,85.0,87.0,128.0,259.0,372.0,522.0
7,Paraguay,80.0,91.0,107.0,101.0,115.0,95.0,83.0,54.0,59.0,30.0
7,Peru,611.0,669.0,726.0,790.0,896.0,881.0,1001.0,718.0,880.0,926.0
7,Uruguay,34.0,40.0,58.0,64.0,57.0,71.0,86.0,57.0,65.0,81.0
7,Venezuela,4164.0,3930.0,4561.0,4910.0,4864.0,5005.0,4224.0,3808.0,2207.0,3073.0
7,South America,40861.0,43047.0,45875.0,45316.0,45298.0,48232.0,47354.0,37776.0,43894.0,48365.0
7,Algeria,1091.0,1051.0,1014.0,1007.0,1158.0,1278.0,619.0,597.0,662.0,551.0
7,Egypt,4316.0,4398.0,4810.0,5603.0,6045.0,6224.0,6198.0,5541.0,6676.0,6486.0
7,Ghana,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
7,Kenya,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
7,Libya,886.0,1007.0,1026.0,1255.0,1151.0,1250.0,1137.0,914.0,825.0,100.0
7,Mauritania,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
7,Morocco,5.0,5.0,5.0,205.0,314.0,512.0,478.0,499.0,485.0,654.0
7,Nigeria,,,40.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
7,South Africa,9095.0,9481.0,9500.0,9494.0,9718.0,9098.0,8246.0,7484.0,7617.0,7546.0
7,Tunisia,200.0,86.0,66.0,70.0,75.0,80.0,82.0,155.0,150.0,150.0
7,Uganda,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
7,Zaire,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
7,Zimbabwe,105.0,152.0,135.0,107.0,24.0,23.0,,,,
7,Africa,15807.0,16289.0,16706.0,17950.0,18695.0,18675.0,16970.0,15400.0,16624.0,15697.0
7,Iran,7321.0,7869.0,8682.0,9404.0,9789.0,10051.0,9964.0,10908.0,11995.0,13197.0
7,Israel,280.0,280.0,280.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
7,Jordan,134.0,135.0,140.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
7,Qatar,1027.0,1055.0,1089.0,1057.0,1003.0,1147.0,1406.0,1448.0,1970.0,2010.0
7,Saudi Arabia,3570.0,3944.0,3902.0,4186.0,3974.0,4644.0,4667.0,4690.0,5015.0,5275.0
7,Syria,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
7,United Arab Emirates,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,500.0,2000.0
7,Middle East,12492.0,13443.0,14253.0,15257.0,15376.0,16452.0,16646.0,17656.0,20000.0,23002.0
7,China,182249.0,222336.0,272798.0,355790.0,421024.0,489712.0,512339.0,577070.0,638743.0,683883.0
7,India,28814.0,31779.0,32626.0,45780.0,49450.0,53468.0,57791.0,63527.0,68976.0,73590.0
7,Indonesia,2462.0,2042.0,3682.0,3675.0,3759.0,4160.0,3915.0,3501.0,3664.0,3621.0
7,Japan,107745.0,110511.0,112718.0,112471.0,116226.0,120203.0,118739.0,87534.0,109599.0,107601.0
7,DPR Korea (e),300.0,300.0,300.0,300.0,300.0,300.0,300.0,250.0,250.0,250.0
7,South Korea,45390.0,46310.0,47521.0,47820.0,48455.0,51517.0,53625.0,48572.0,58914.0,68519.0
7,Malaysia,4722.0,3960.0,5698.0,5296.0,5834.0,6895.0,6423.0,5354.0,5694.0,5941.0
7,Mongolia,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
7,Myanmar,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
7,Pakistan,970.0,1000.0,1145.0,825.0,1040.0,1090.0,1000.0,800.0,800.0,850.0
7,Philippines,550.0,500.0,400.0,470.0,558.0,718.0,711.0,824.0,1050.0,1200.0
7,Singapore,460.0,561.0,610.0,572.0,607.0,640.0,764.0,664.0,728.0,752.0
7,Sri Lanka,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
7,"Taiwan, China",18230.0,18832.0,19599.0,18942.0,20000.0,20903.0,19882.0,15814.0,19755.0,20178.0
7,Thailand,2538.0,3551.0,4533.0,5161.0,4914.0,5565.0,5211.0,3646.0,4145.0,4238.0
7,Viet Nam,409.0,544.0,689.0,890.0,1869.0,2024.0,2250.0,2700.0,4314.0,4900.0
7,Asia,394928.0,442316.0,502408.0,598083.0,674126.0,757285.0,783040.0,810346.0,916721.0,975614.0
7,Australia,7527.0,7544.0,7414.0,7757.0,7881.0,7939.0,7625.0,5249.0,7296.0,6404.0
7,New Zealand,765.0,853.0,885.0,889.0,810.0,845.0,799.0,765.0,853.0,844.0
7,Oceania,8292.0,8397.0,8300.0,8646.0,8691.0,8783.0,8424.0,6014.0,8149.0,7248.0
7,World,904053.0,9699151.0,612451.0,1465791.0,2489911.0,3470021.0,3412121.0,2358271.0,4316641.0,518299.0
7,* - Includes all qualities:,"carbon,stainless,",andother,alloy.,,,,,,,
7,2 - Steel Statistical Yearbook,2012.0,,,,,,,,,
